Posição,Idade,Overall,Valor (€),Valor (R$)
SAT,21,97,92208200.0,553249200
PTE,15,97,92208200.0,553249200
PTE,16,97,92208200.0,553249200
PTE,17,97,92208200.0,553249200
PTE,18,97,92208200.0,553249200
PTE,19,97,92208200.0,553249200
PTE,20,97,92208200.0,553249200
PTE,21,97,92208200.0,553249200
PTD,15,97,92208200.0,553249200
PTD,16,97,92208200.0,553249200
PTD,17,97,92208200.0,553249200
PTD,18,97,92208200.0,553249200
PTD,19,97,92208200.0,553249200
PTD,20,97,92208200.0,553249200
PTD,21,97,92208200.0,553249200
CA,15,96,90316800.0,541900800
CA,16,96,90316800.0,541900800
CA,17,96,90316800.0,541900800
CA,18,96,90316800.0,541900800
CA,19,96,90316800.0,541900800
CA,20,96,90316800.0,541900800
CA,21,96,90316800.0,541900800
SAT,15,96,90316800.0,541900800
SAT,16,96,90316800.0,541900800
SAT,17,96,90316800.0,541900800
SAT,18,96,90316800.0,541900800
SAT,19,96,90316800.0,541900800
SAT,20,96,90316800.0,541900800
SAT,21,96,90316800.0,541900800
PTE,15,96,90316800.0,541900800
PTE,16,96,90316800.0,541900800
PTE,17,96,90316800.0,541900800
PTE,18,96,90316800.0,541900800
PTE,19,96,90316800.0,541900800
PTE,20,96,90316800.0,541900800
PTE,21,96,90316800.0,541900800
PTD,15,96,90316800.0,541900800
PTD,16,96,90316800.0,541900800
PTD,17,96,90316800.0,541900800
PTD,18,96,90316800.0,541900800
PTD,19,96,90316800.0,541900800
PTD,20,96,90316800.0,541900800
PTD,21,96,90316800.0,541900800
CA,15,95,88445000.0,530670000
CA,16,95,88445000.0,530670000
CA,17,95,88445000.0,530670000
CA,18,95,88445000.0,530670000
CA,19,95,88445000.0,530670000
CA,20,95,88445000.0,530670000
CA,21,95,88445000.0,530670000
SAT,15,95,88445000.0,530670000
SAT,16,95,88445000.0,530670000
SAT,17,95,88445000.0,530670000
SAT,18,95,88445000.0,530670000
SAT,19,95,88445000.0,530670000
SAT,20,95,88445000.0,530670000
SAT,21,95,88445000.0,530670000
PTE,15,95,88445000.0,530670000
PTE,16,95,88445000.0,530670000
PTE,17,95,88445000.0,530670000
PTE,18,95,88445000.0,530670000
PTE,19,95,88445000.0,530670000
PTE,20,95,88445000.0,530670000
PTE,21,95,88445000.0,530670000
PTD,15,95,88445000.0,530670000
PTD,16,95,88445000.0,530670000
PTD,17,95,88445000.0,530670000
PTD,18,95,88445000.0,530670000
PTD,19,95,88445000.0,530670000
PTD,20,95,88445000.0,530670000
PTD,21,95,88445000.0,530670000
CA,15,94,86592800.0,519556800
CA,16,94,86592800.0,519556800
CA,17,94,86592800.0,519556800
CA,18,94,86592800.0,519556800
CA,19,94,86592800.0,519556800
CA,20,94,86592800.0,519556800
CA,21,94,86592800.0,519556800
SAT,15,94,86592800.0,519556800
SAT,16,94,86592800.0,519556800
SAT,17,94,86592800.0,519556800
SAT,18,94,86592800.0,519556800
SAT,19,94,86592800.0,519556800
SAT,20,94,86592800.0,519556800
SAT,21,94,86592800.0,519556800
PTE,15,94,86592800.0,519556800
PTE,16,94,86592800.0,519556800
PTE,17,94,86592800.0,519556800
PTE,18,94,86592800.0,519556800
PTE,19,94,86592800.0,519556800
PTE,20,94,86592800.0,519556800
PTE,21,94,86592800.0,519556800
PTD,15,94,86592800.0,519556800
PTD,16,94,86592800.0,519556800
PTD,17,94,86592800.0,519556800
PTD,18,94,86592800.0,519556800
PTD,19,94,86592800.0,519556800
PTD,20,94,86592800.0,519556800
PTD,21,94,86592800.0,519556800
CA,15,93,84760200.0,508561200
CA,16,93,84760200.0,508561200
CA,17,93,84760200.0,508561200
CA,18,93,84760200.0,508561200
CA,19,93,84760200.0,508561200
CA,20,93,84760200.0,508561200
CA,21,93,84760200.0,508561200
SAT,15,93,84760200.0,508561200
SAT,16,93,84760200.0,508561200
SAT,17,93,84760200.0,508561200
SAT,18,93,84760200.0,508561200
SAT,19,93,84760200.0,508561200
SAT,20,93,84760200.0,508561200
SAT,21,93,84760200.0,508561200
PTE,15,93,84760200.0,508561200
PTE,16,93,84760200.0,508561200
PTE,17,93,84760200.0,508561200
PTE,18,93,84760200.0,508561200
PTE,19,93,84760200.0,508561200
PTE,20,93,84760200.0,508561200
PTE,21,93,84760200.0,508561200
PTD,15,93,84760200.0,508561200
PTD,16,93,84760200.0,508561200
PTD,17,93,84760200.0,508561200
PTD,18,93,84760200.0,508561200
PTD,19,93,84760200.0,508561200
PTD,20,93,84760200.0,508561200
PTD,21,93,84760200.0,508561200
CA,15,92,82947200.0,497683200
CA,16,92,82947200.0,497683200
CA,17,92,82947200.0,497683200
CA,18,92,82947200.0,497683200
CA,19,92,82947200.0,497683200
CA,20,92,82947200.0,497683200
CA,21,92,82947200.0,497683200
SAT,15,92,82947200.0,497683200
SAT,16,92,82947200.0,497683200
SAT,17,92,82947200.0,497683200
SAT,18,92,82947200.0,497683200
SAT,19,92,82947200.0,497683200
SAT,20,92,82947200.0,497683200
SAT,21,92,82947200.0,497683200
PTE,15,92,82947200.0,497683200
PTE,16,92,82947200.0,497683200
PTE,17,92,82947200.0,497683200
PTE,18,92,82947200.0,497683200
PTE,19,92,82947200.0,497683200
PTE,20,92,82947200.0,497683200
PTE,21,92,82947200.0,497683200
PTD,15,92,82947200.0,497683200
PTD,16,92,82947200.0,497683200
PTD,17,92,82947200.0,497683200
PTD,18,92,82947200.0,497683200
PTD,19,92,82947200.0,497683200
PTD,20,92,82947200.0,497683200
PTD,21,92,82947200.0,497683200
CA,15,91,81153800.0,486922800
CA,16,91,81153800.0,486922800
CA,17,91,81153800.0,486922800
CA,18,91,81153800.0,486922800
CA,19,91,81153800.0,486922800
CA,20,91,81153800.0,486922800
CA,21,91,81153800.0,486922800
SAT,15,91,81153800.0,486922800
SAT,16,91,81153800.0,486922800
SAT,17,91,81153800.0,486922800
SAT,18,91,81153800.0,486922800
SAT,19,91,81153800.0,486922800
SAT,20,91,81153800.0,486922800
SAT,21,91,81153800.0,486922800
PTE,15,91,81153800.0,486922800
PTE,16,91,81153800.0,486922800
PTE,17,91,81153800.0,486922800
PTE,18,91,81153800.0,486922800
PTE,19,91,81153800.0,486922800
PTE,20,91,81153800.0,486922800
PTE,21,91,81153800.0,486922800
PTD,15,91,81153800.0,486922800
PTD,16,91,81153800.0,486922800
PTD,17,91,81153800.0,486922800
PTD,18,91,81153800.0,486922800
PTD,19,91,81153800.0,486922800
PTD,20,91,81153800.0,486922800
PTD,21,91,81153800.0,486922800
CA,15,90,79380000.0,476280000
CA,16,90,79380000.0,476280000
CA,17,90,79380000.0,476280000
CA,18,90,79380000.0,476280000
CA,19,90,79380000.0,476280000
CA,20,90,79380000.0,476280000
CA,21,90,79380000.0,476280000
SAT,15,90,79380000.0,476280000
SAT,16,90,79380000.0,476280000
SAT,17,90,79380000.0,476280000
SAT,18,90,79380000.0,476280000
SAT,19,90,79380000.0,476280000
SAT,20,90,79380000.0,476280000
SAT,21,90,79380000.0,476280000
PTE,15,90,79380000.0,476280000
PTE,16,90,79380000.0,476280000
PTE,17,90,79380000.0,476280000
PTE,18,90,79380000.0,476280000
PTE,19,90,79380000.0,476280000
PTE,20,90,79380000.0,476280000
PTE,21,90,79380000.0,476280000
PTD,15,90,79380000.0,476280000
PTD,16,90,79380000.0,476280000
PTD,17,90,79380000.0,476280000
PTD,18,90,79380000.0,476280000
PTD,19,90,79380000.0,476280000
PTD,20,90,79380000.0,476280000
PTD,21,90,79380000.0,476280000
CA,15,89,77625800.0,465754800
CA,16,89,77625800.0,465754800
CA,17,89,77625800.0,465754800
CA,18,89,77625800.0,465754800
CA,19,89,77625800.0,465754800
CA,20,89,77625800.0,465754800
CA,21,89,77625800.0,465754800
SAT,15,89,77625800.0,465754800
SAT,16,89,77625800.0,465754800
SAT,17,89,77625800.0,465754800
SAT,18,89,77625800.0,465754800
SAT,19,89,77625800.0,465754800
SAT,20,89,77625800.0,465754800
SAT,21,89,77625800.0,465754800
PTE,15,89,77625800.0,465754800
PTE,16,89,77625800.0,465754800
PTE,17,89,77625800.0,465754800
PTE,18,89,77625800.0,465754800
PTE,19,89,77625800.0,465754800
PTE,20,89,77625800.0,465754800
PTE,21,89,77625800.0,465754800
PTD,15,89,77625800.0,465754800
PTD,16,89,77625800.0,465754800
PTD,17,89,77625800.0,465754800
PTD,18,89,77625800.0,465754800
PTD,19,89,77625800.0,465754800
PTD,20,89,77625800.0,465754800
PTD,21,89,77625800.0,465754800
CA,15,88,75891200.0,455347200
CA,16,88,75891200.0,455347200
CA,17,88,75891200.0,455347200
CA,18,88,75891200.0,455347200
CA,19,88,75891200.0,455347200
CA,20,88,75891200.0,455347200
CA,21,88,75891200.0,455347200
SAT,15,88,75891200.0,455347200
SAT,16,88,75891200.0,455347200
SAT,17,88,75891200.0,455347200
SAT,18,88,75891200.0,455347200
SAT,19,88,75891200.0,455347200
SAT,20,88,75891200.0,455347200
SAT,21,88,75891200.0,455347200
PTE,15,88,75891200.0,455347200
PTE,16,88,75891200.0,455347200
PTE,17,88,75891200.0,455347200
PTE,18,88,75891200.0,455347200
PTE,19,88,75891200.0,455347200
PTE,20,88,75891200.0,455347200
PTE,21,88,75891200.0,455347200
PTD,15,88,75891200.0,455347200
PTD,16,88,75891200.0,455347200
PTD,17,88,75891200.0,455347200
PTD,18,88,75891200.0,455347200
PTD,19,88,75891200.0,455347200
PTD,20,88,75891200.0,455347200
PTD,21,88,75891200.0,455347200
VOL,15,99,75467700.0,452806200
VOL,16,99,75467700.0,452806200
VOL,17,99,75467700.0,452806200
VOL,18,99,75467700.0,452806200
VOL,19,99,75467700.0,452806200
VOL,20,99,75467700.0,452806200
VOL,21,99,75467700.0,452806200
MLG,15,99,75467700.0,452806200
MLG,16,99,75467700.0,452806200
MLG,17,99,75467700.0,452806200
MLG,18,99,75467700.0,452806200
MLG,19,99,75467700.0,452806200
MLG,20,99,75467700.0,452806200
MLG,21,99,75467700.0,452806200
MLD,15,99,75467700.0,452806200
MLD,16,99,75467700.0,452806200
MLD,17,99,75467700.0,452806200
MLD,18,99,75467700.0,452806200
MLD,19,99,75467700.0,452806200
MLD,20,99,75467700.0,452806200
MLD,21,99,75467700.0,452806200
MLE,15,99,75467700.0,452806200
MLE,16,99,75467700.0,452806200
MLE,17,99,75467700.0,452806200
MLE,18,99,75467700.0,452806200
MLE,19,99,75467700.0,452806200
MLE,20,99,75467700.0,452806200
MLE,21,99,75467700.0,452806200
MAT,15,99,75467700.0,452806200
MAT,16,99,75467700.0,452806200
MAT,17,99,75467700.0,452806200
MAT,18,99,75467700.0,452806200
MAT,19,99,75467700.0,452806200
MAT,20,99,75467700.0,452806200
MAT,21,99,75467700.0,452806200
CA,15,87,74176200.0,445057200
CA,16,87,74176200.0,445057200
CA,17,87,74176200.0,445057200
CA,18,87,74176200.0,445057200
CA,19,87,74176200.0,445057200
CA,20,87,74176200.0,445057200
CA,21,87,74176200.0,445057200
SAT,15,87,74176200.0,445057200
SAT,16,87,74176200.0,445057200
SAT,17,87,74176200.0,445057200
SAT,18,87,74176200.0,445057200
SAT,19,87,74176200.0,445057200
SAT,20,87,74176200.0,445057200
SAT,21,87,74176200.0,445057200
PTE,15,87,74176200.0,445057200
PTE,16,87,74176200.0,445057200
PTE,17,87,74176200.0,445057200
PTE,18,87,74176200.0,445057200
PTE,19,87,74176200.0,445057200
PTE,20,87,74176200.0,445057200
PTE,21,87,74176200.0,445057200
PTD,15,87,74176200.0,445057200
PTD,16,87,74176200.0,445057200
PTD,17,87,74176200.0,445057200
PTD,18,87,74176200.0,445057200
PTD,19,87,74176200.0,445057200
PTD,20,87,74176200.0,445057200
PTD,21,87,74176200.0,445057200
VOL,15,98,73950800.0,443704800
VOL,16,98,73950800.0,443704800
VOL,17,98,73950800.0,443704800
VOL,18,98,73950800.0,443704800
VOL,19,98,73950800.0,443704800
VOL,20,98,73950800.0,443704800
VOL,21,98,73950800.0,443704800
MLG,15,98,73950800.0,443704800
MLG,16,98,73950800.0,443704800
MLG,17,98,73950800.0,443704800
MLG,18,98,73950800.0,443704800
MLG,19,98,73950800.0,443704800
MLG,20,98,73950800.0,443704800
MLG,21,98,73950800.0,443704800
MLD,15,98,73950800.0,443704800
MLD,16,98,73950800.0,443704800
MLD,17,98,73950800.0,443704800
MLD,18,98,73950800.0,443704800
MLD,19,98,73950800.0,443704800
MLD,20,98,73950800.0,443704800
MLD,21,98,73950800.0,443704800
MLE,15,98,73950800.0,443704800
MLE,16,98,73950800.0,443704800
MLE,17,98,73950800.0,443704800
MLE,18,98,73950800.0,443704800
MLE,19,98,73950800.0,443704800
MLE,20,98,73950800.0,443704800
MLE,21,98,73950800.0,443704800
MAT,15,98,73950800.0,443704800
MAT,16,98,73950800.0,443704800
MAT,17,98,73950800.0,443704800
MAT,18,98,73950800.0,443704800
MAT,19,98,73950800.0,443704800
MAT,20,98,73950800.0,443704800
MAT,21,98,73950800.0,443704800
CA,15,86,72480800.0,434884800
CA,16,86,72480800.0,434884800
CA,17,86,72480800.0,434884800
CA,18,86,72480800.0,434884800
CA,19,86,72480800.0,434884800
CA,20,86,72480800.0,434884800
CA,21,86,72480800.0,434884800
SAT,15,86,72480800.0,434884800
SAT,16,86,72480800.0,434884800
SAT,17,86,72480800.0,434884800
SAT,18,86,72480800.0,434884800
SAT,19,86,72480800.0,434884800
SAT,20,86,72480800.0,434884800
SAT,21,86,72480800.0,434884800
PTE,15,86,72480800.0,434884800
PTE,16,86,72480800.0,434884800
PTE,17,86,72480800.0,434884800
PTE,18,86,72480800.0,434884800
PTE,19,86,72480800.0,434884800
PTE,20,86,72480800.0,434884800
PTE,21,86,72480800.0,434884800
PTD,15,86,72480800.0,434884800
PTD,16,86,72480800.0,434884800
PTD,17,86,72480800.0,434884800
PTD,18,86,72480800.0,434884800
PTD,19,86,72480800.0,434884800
PTD,20,86,72480800.0,434884800
PTD,21,86,72480800.0,434884800
VOL,15,97,72449300.0,434695800
VOL,16,97,72449300.0,434695800
VOL,17,97,72449300.0,434695800
VOL,18,97,72449300.0,434695800
VOL,19,97,72449300.0,434695800
VOL,20,97,72449300.0,434695800
VOL,21,97,72449300.0,434695800
MLG,15,97,72449300.0,434695800
MLG,16,97,72449300.0,434695800
MLG,17,97,72449300.0,434695800
MLG,18,97,72449300.0,434695800
MLG,19,97,72449300.0,434695800
MLG,20,97,72449300.0,434695800
MLG,21,97,72449300.0,434695800
MLD,15,97,72449300.0,434695800
MLD,16,97,72449300.0,434695800
MLD,17,97,72449300.0,434695800
MLD,18,97,72449300.0,434695800
MLD,19,97,72449300.0,434695800
MLD,20,97,72449300.0,434695800
MLD,21,97,72449300.0,434695800
MLE,15,97,72449300.0,434695800
MLE,16,97,72449300.0,434695800
MLE,17,97,72449300.0,434695800
MLE,18,97,72449300.0,434695800
MLE,19,97,72449300.0,434695800
MLE,20,97,72449300.0,434695800
MLE,21,97,72449300.0,434695800
MAT,15,97,72449300.0,434695800
MAT,16,97,72449300.0,434695800
MAT,17,97,72449300.0,434695800
MAT,18,97,72449300.0,434695800
MAT,19,97,72449300.0,434695800
MAT,20,97,72449300.0,434695800
MAT,21,97,72449300.0,434695800
VOL,15,96,70963200.0,425779200
VOL,16,96,70963200.0,425779200
VOL,17,96,70963200.0,425779200
VOL,18,96,70963200.0,425779200
VOL,19,96,70963200.0,425779200
VOL,20,96,70963200.0,425779200
VOL,21,96,70963200.0,425779200
MLG,15,96,70963200.0,425779200
MLG,16,96,70963200.0,425779200
MLG,17,96,70963200.0,425779200
MLG,18,96,70963200.0,425779200
MLG,19,96,70963200.0,425779200
MLG,20,96,70963200.0,425779200
MLG,21,96,70963200.0,425779200
MLD,15,96,70963200.0,425779200
MLD,16,96,70963200.0,425779200
MLD,17,96,70963200.0,425779200
MLD,18,96,70963200.0,425779200
MLD,19,96,70963200.0,425779200
MLD,20,96,70963200.0,425779200
MLD,21,96,70963200.0,425779200
MLE,15,96,70963200.0,425779200
MLE,16,96,70963200.0,425779200
MLE,17,96,70963200.0,425779200
MLE,18,96,70963200.0,425779200
MLE,19,96,70963200.0,425779200
MLE,20,96,70963200.0,425779200
MLE,21,96,70963200.0,425779200
MAT,15,96,70963200.0,425779200
MAT,16,96,70963200.0,425779200
MAT,17,96,70963200.0,425779200
MAT,18,96,70963200.0,425779200
MAT,19,96,70963200.0,425779200
MAT,20,96,70963200.0,425779200
MAT,21,96,70963200.0,425779200
CA,15,85,70805000.0,424830000
CA,16,85,70805000.0,424830000
CA,17,85,70805000.0,424830000
CA,18,85,70805000.0,424830000
CA,19,85,70805000.0,424830000
CA,20,85,70805000.0,424830000
CA,21,85,70805000.0,424830000
SAT,15,85,70805000.0,424830000
SAT,16,85,70805000.0,424830000
SAT,17,85,70805000.0,424830000
SAT,18,85,70805000.0,424830000
SAT,19,85,70805000.0,424830000
SAT,20,85,70805000.0,424830000
SAT,21,85,70805000.0,424830000
PTE,15,85,70805000.0,424830000
PTE,16,85,70805000.0,424830000
PTE,17,85,70805000.0,424830000
PTE,18,85,70805000.0,424830000
PTE,19,85,70805000.0,424830000
PTE,20,85,70805000.0,424830000
PTE,21,85,70805000.0,424830000
PTD,15,85,70805000.0,424830000
PTD,16,85,70805000.0,424830000
PTD,17,85,70805000.0,424830000
PTD,18,85,70805000.0,424830000
PTD,19,85,70805000.0,424830000
PTD,20,85,70805000.0,424830000
PTD,21,85,70805000.0,424830000
VOL,15,95,69492500.0,416955000
VOL,16,95,69492500.0,416955000
VOL,17,95,69492500.0,416955000
VOL,18,95,69492500.0,416955000
VOL,19,95,69492500.0,416955000
VOL,20,95,69492500.0,416955000
VOL,21,95,69492500.0,416955000
MLG,15,95,69492500.0,416955000
MLG,16,95,69492500.0,416955000
MLG,17,95,69492500.0,416955000
MLG,18,95,69492500.0,416955000
MLG,19,95,69492500.0,416955000
MLG,20,95,69492500.0,416955000
MLG,21,95,69492500.0,416955000
MLD,15,95,69492500.0,416955000
MLD,16,95,69492500.0,416955000
MLD,17,95,69492500.0,416955000
MLD,18,95,69492500.0,416955000
MLD,19,95,69492500.0,416955000
MLD,20,95,69492500.0,416955000
MLD,21,95,69492500.0,416955000
MLE,15,95,69492500.0,416955000
MLE,16,95,69492500.0,416955000
MLE,17,95,69492500.0,416955000
MLE,18,95,69492500.0,416955000
MLE,19,95,69492500.0,416955000
MLE,20,95,69492500.0,416955000
MLE,21,95,69492500.0,416955000
MAT,15,95,69492500.0,416955000
MAT,16,95,69492500.0,416955000
MAT,17,95,69492500.0,416955000
MAT,18,95,69492500.0,416955000
MAT,19,95,69492500.0,416955000
MAT,20,95,69492500.0,416955000
MAT,21,95,69492500.0,416955000
CA,15,84,69148800.0,414892800
CA,16,84,69148800.0,414892800
CA,17,84,69148800.0,414892800
CA,18,84,69148800.0,414892800
CA,19,84,69148800.0,414892800
CA,20,84,69148800.0,414892800
CA,21,84,69148800.0,414892800
SAT,15,84,69148800.0,414892800
SAT,16,84,69148800.0,414892800
SAT,17,84,69148800.0,414892800
SAT,18,84,69148800.0,414892800
SAT,19,84,69148800.0,414892800
SAT,20,84,69148800.0,414892800
SAT,21,84,69148800.0,414892800
PTE,15,84,69148800.0,414892800
PTE,16,84,69148800.0,414892800
PTE,17,84,69148800.0,414892800
PTE,18,84,69148800.0,414892800
PTE,19,84,69148800.0,414892800
PTE,20,84,69148800.0,414892800
PTE,21,84,69148800.0,414892800
PTD,15,84,69148800.0,414892800
PTD,16,84,69148800.0,414892800
PTD,17,84,69148800.0,414892800
PTD,18,84,69148800.0,414892800
PTD,19,84,69148800.0,414892800
PTD,20,84,69148800.0,414892800
PTD,21,84,69148800.0,414892800
CA,22,99,68607000.0,411642000
CA,23,99,68607000.0,411642000
CA,24,99,68607000.0,411642000
CA,25,99,68607000.0,411642000
CA,26,99,68607000.0,411642000
CA,27,99,68607000.0,411642000
CA,28,99,68607000.0,411642000
SAT,22,99,68607000.0,411642000
SAT,23,99,68607000.0,411642000
SAT,24,99,68607000.0,411642000
SAT,25,99,68607000.0,411642000
SAT,26,99,68607000.0,411642000
SAT,27,99,68607000.0,411642000
SAT,28,99,68607000.0,411642000
PTE,22,99,68607000.0,411642000
PTE,23,99,68607000.0,411642000
PTE,24,99,68607000.0,411642000
PTE,25,99,68607000.0,411642000
PTE,26,99,68607000.0,411642000
PTE,27,99,68607000.0,411642000
PTE,28,99,68607000.0,411642000
PTD,22,99,68607000.0,411642000
PTD,23,99,68607000.0,411642000
PTD,24,99,68607000.0,411642000
PTD,25,99,68607000.0,411642000
PTD,26,99,68607000.0,411642000
PTD,27,99,68607000.0,411642000
PTD,28,99,68607000.0,411642000
VOL,15,94,68037200.0,408223200
VOL,16,94,68037200.0,408223200
VOL,17,94,68037200.0,408223200
VOL,18,94,68037200.0,408223200
VOL,19,94,68037200.0,408223200
VOL,20,94,68037200.0,408223200
VOL,21,94,68037200.0,408223200
MLG,15,94,68037200.0,408223200
MLG,16,94,68037200.0,408223200
MLG,17,94,68037200.0,408223200
MLG,18,94,68037200.0,408223200
MLG,19,94,68037200.0,408223200
MLG,20,94,68037200.0,408223200
MLG,21,94,68037200.0,408223200
MLD,15,94,68037200.0,408223200
MLD,16,94,68037200.0,408223200
MLD,17,94,68037200.0,408223200
MLD,18,94,68037200.0,408223200
MLD,19,94,68037200.0,408223200
MLD,20,94,68037200.0,408223200
MLD,21,94,68037200.0,408223200
MLE,15,94,68037200.0,408223200
MLE,16,94,68037200.0,408223200
MLE,17,94,68037200.0,408223200
MLE,18,94,68037200.0,408223200
MLE,19,94,68037200.0,408223200
MLE,20,94,68037200.0,408223200
MLE,21,94,68037200.0,408223200
MAT,15,94,68037200.0,408223200
MAT,16,94,68037200.0,408223200
MAT,17,94,68037200.0,408223200
MAT,18,94,68037200.0,408223200
MAT,19,94,68037200.0,408223200
MAT,20,94,68037200.0,408223200
MAT,21,94,68037200.0,408223200
CA,15,83,67512200.0,405073200
CA,16,83,67512200.0,405073200
CA,17,83,67512200.0,405073200
CA,18,83,67512200.0,405073200
CA,19,83,67512200.0,405073200
CA,20,83,67512200.0,405073200
CA,21,83,67512200.0,405073200
SAT,15,83,67512200.0,405073200
SAT,16,83,67512200.0,405073200
SAT,17,83,67512200.0,405073200
SAT,18,83,67512200.0,405073200
SAT,19,83,67512200.0,405073200
SAT,20,83,67512200.0,405073200
SAT,21,83,67512200.0,405073200
PTE,15,83,67512200.0,405073200
PTE,16,83,67512200.0,405073200
PTE,17,83,67512200.0,405073200
PTE,18,83,67512200.0,405073200
PTE,19,83,67512200.0,405073200
PTE,20,83,67512200.0,405073200
PTE,21,83,67512200.0,405073200
PTD,15,83,67512200.0,405073200
PTD,16,83,67512200.0,405073200
PTD,17,83,67512200.0,405073200
PTD,18,83,67512200.0,405073200
PTD,19,83,67512200.0,405073200
PTD,20,83,67512200.0,405073200
PTD,21,83,67512200.0,405073200
CA,22,98,67228000.0,403368000
CA,23,98,67228000.0,403368000
CA,24,98,67228000.0,403368000
CA,25,98,67228000.0,403368000
CA,26,98,67228000.0,403368000
CA,27,98,67228000.0,403368000
CA,28,98,67228000.0,403368000
SAT,22,98,67228000.0,403368000
SAT,23,98,67228000.0,403368000
SAT,24,98,67228000.0,403368000
SAT,25,98,67228000.0,403368000
SAT,26,98,67228000.0,403368000
SAT,27,98,67228000.0,403368000
SAT,28,98,67228000.0,403368000
PTE,22,98,67228000.0,403368000
PTE,23,98,67228000.0,403368000
PTE,24,98,67228000.0,403368000
PTE,25,98,67228000.0,403368000
PTE,26,98,67228000.0,403368000
PTE,27,98,67228000.0,403368000
PTE,28,98,67228000.0,403368000
PTD,22,98,67228000.0,403368000
PTD,23,98,67228000.0,403368000
PTD,24,98,67228000.0,403368000
PTD,25,98,67228000.0,403368000
PTD,26,98,67228000.0,403368000
PTD,27,98,67228000.0,403368000
PTD,28,98,67228000.0,403368000
VOL,15,93,66597300.0,399583800
VOL,16,93,66597300.0,399583800
VOL,17,93,66597300.0,399583800
VOL,18,93,66597300.0,399583800
VOL,19,93,66597300.0,399583800
VOL,20,93,66597300.0,399583800
VOL,21,93,66597300.0,399583800
MLG,15,93,66597300.0,399583800
MLG,16,93,66597300.0,399583800
MLG,17,93,66597300.0,399583800
MLG,18,93,66597300.0,399583800
MLG,19,93,66597300.0,399583800
MLG,20,93,66597300.0,399583800
MLG,21,93,66597300.0,399583800
MLD,15,93,66597300.0,399583800
MLD,16,93,66597300.0,399583800
MLD,17,93,66597300.0,399583800
MLD,18,93,66597300.0,399583800
MLD,19,93,66597300.0,399583800
MLD,20,93,66597300.0,399583800
MLD,21,93,66597300.0,399583800
MLE,15,93,66597300.0,399583800
MLE,16,93,66597300.0,399583800
MLE,17,93,66597300.0,399583800
MLE,18,93,66597300.0,399583800
MLE,19,93,66597300.0,399583800
MLE,20,93,66597300.0,399583800
MLE,21,93,66597300.0,399583800
MAT,15,93,66597300.0,399583800
MAT,16,93,66597300.0,399583800
MAT,17,93,66597300.0,399583800
MAT,18,93,66597300.0,399583800
MAT,19,93,66597300.0,399583800
MAT,20,93,66597300.0,399583800
MAT,21,93,66597300.0,399583800
CA,15,82,65895200.0,395371200
CA,16,82,65895200.0,395371200
CA,17,82,65895200.0,395371200
CA,18,82,65895200.0,395371200
CA,19,82,65895200.0,395371200
